Tanggal,Positif (Indonesia),Dirawat (Indonesia),Sembuh (Indonesia),Meninggal (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Positif Harian (Indonesia),Dirawat Harian (Indonesia),Sembuh Harian (Indonesia),Meninggal Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
1/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
3/3/2020,2,2,0,0,1,0,0,2,3,2,0,0,0,0,1,0,0,2,3,2
3/4/2020,2,2,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0
3/5/2020,2,2,0,0,3,0,0,4,7,4,0,0,0,0,2,0,0,2,4,2
3/6/2020,4,4,0,0,3,0,0,4,7,4,2,2,0,0,0,0,0,0,0,0
3/7/2020,4,4,0,0,3,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0
3/8/2020,6,6,0,0,3,0,0,4,7,4,2,2,0,0,0,0,0,0,0,0
3/9/2020,19,19,0,0,3,0,0,31,34,31,13,13,0,0,0,0,0,27,27,27
3/10/2020,27,25,2,0,3,0,0,31,34,31,8,6,2,0,0,0,0,0,0,0
3/11/2020,34,31,2,1,3,0,0,33,36,33,7,6,0,1,0,0,0,2,2,2
3/12/2020,34,31,2,1,5,0,0,57,62,57,0,0,0,0,2,0,0,24,26,24
3/13/2020,69,63,2,4,7,0,0,65,72,65,35,32,0,3,2,0,0,8,10,8
3/14/2020,96,83,8,5,9,0,0,70,79,70,27,20,6,1,2,0,0,5,7,5
3/15/2020,117,104,8,5,11,0,0,84,95,84,21,21,0,0,2,0,0,14,16,14
3/16/2020,134,121,8,5,12,0,7,78,97,85,17,17,0,0,1,0,7,-6,2,1
3/17/2020,172,158,9,5,12,0,27,83,122,110,38,37,1,0,0,0,20,5,25,25
3/18/2020,227,197,11,19,15,12,42,91,160,133,55,39,2,14,3,12,15,8,38,23
3/19/2020,309,269,15,25,19,13,57,121,210,178,82,72,4,6,4,1,15,30,50,45
3/20/2020,369,320,17,32,20,13,66,125,224,191,60,51,2,7,1,0,9,4,14,13
3/21/2020,450,392,20,38,23,17,71,157,268,228,81,72,3,6,3,4,5,32,44,37
3/22/2020,514,437,29,48,29,21,77,177,304,254,64,45,9,10,6,4,6,20,36,26
3/23/2020,579,500,30,49,29,22,79,225,355,304,65,63,1,1,0,1,2,48,51,50
3/24/2020,686,601,30,55,34,23,109,260,426,369,107,101,0,6,5,1,30,35,71,65
3/25/2020,790,701,31,58,43,27,112,290,472,402,104,100,1,3,9,4,3,30,46,33
3/26/2020,893,780,35,78,49,29,113,324,515,437,103,79,4,20,6,2,1,34,43,35
3/27/2020,1046,913,46,87,57,31,132,346,566,478,153,133,11,9,8,2,19,22,51,41
3/28/2020,1155,994,59,102,62,43,134,364,603,498,109,81,13,15,5,12,2,18,37,20
3/29/2020,1285,1107,64,114,67,48,151,435,701,586,130,113,5,12,5,5,17,71,98,88
3/30/2020,1414,1217,75,122,78,49,151,449,727,600,129,110,11,8,11,1,0,14,26,14
3/31/2020,1528,1311,81,136,84,49,157,451,741,608,114,94,6,14,6,0,6,2,14,8
4/1/2020,1677,1417,103,157,90,51,176,499,816,675,149,106,22,21,6,2,19,48,75,67
4/2/2020,1790,1508,112,170,95,54,195,565,909,760,113,91,9,13,5,3,19,66,93,85
4/3/2020,1986,1671,134,181,98,56,209,627,990,836,196,163,22,11,3,2,14,62,81,76
4/4/2020,2092,1751,150,191,99,58,223,691,1071,914,106,80,16,10,1,2,14,64,81,78
4/5/2020,2273,1911,164,198,123,64,279,685,1151,964,181,160,14,7,24,6,56,-6,80,50
4/6/2020,2491,2090,192,209,131,68,317,783,1299,1100,218,179,28,11,8,4,38,98,148,136
4/7/2020,2738,2313,204,221,141,69,338,895,1443,1233,247,223,12,12,10,1,21,112,144,133
4/8/2020,2956,2494,222,240,144,75,357,976,1552,1333,218,181,18,19,3,6,19,81,109,100
4/9/2020,3293,2761,252,280,155,82,405,1077,1719,1482,337,267,30,40,11,7,48,101,167,149
4/10/2020,3512,2924,282,306,156,82,433,1139,1810,1572,219,163,30,26,1,0,28,62,91,90
4/11/2020,3842,3229,286,327,168,142,441,1152,1903,1593,330,305,4,21,12,60,8,13,93,21
4/12/2020,4241,3509,359,373,195,142,468,1277,2082,1745,399,280,73,46,27,0,27,125,179,152
4/13/2020,4557,3778,380,399,209,142,521,1370,2242,1891,316,269,21,26,14,0,53,93,160,146
4/14/2020,4839,3954,426,459,243,163,558,1385,2349,1943,282,176,46,60,34,21,37,15,107,52
