Tanggal,Positif (Indonesia),Dirawat (Indonesia),Sembuh (Indonesia),Meninggal (Indonesia),Positif Bulanan (Indonesia),Dirawat Bulanan (Indonesia),Sembuh Bulanan (Indonesia),Meninggal Bulanan (Indonesia)
2/28/2020,0,0,0,0,0,0,0,0
3/31/2020,1528,1311,81,136,1528,1311,81,136
4/30/2020,10118,7804,1522,792,8590,6493,1441,656
5/31/2020,26473,17552,7308,1613,16355,9748,5786,821
6/30/2020,56385,28703,24806,2876,29912,11151,17498,1263
7/31/2020,108376,37338,65907,5131,51991,8635,41101,2255
8/31/2020,174796,41420,125959,7417,66420,4082,60052,2286
9/30/2020,287008,61321,214947,10740,112212,19901,88988,3323
10/31/2020,410088,58418,337801,13869,123080,-2903,122854,3129
11/30/2020,538883,71420,450518,16945,128795,13002,112717,3076
12/31/2020,743198,109963,611097,22138,204315,38543,160579,5193
1/31/2021,1078314,175095,873221,29998,335116,65132,262124,7860
2/28/2021,1334634,155765,1142703,36166,256320,-19330,269482,6168
3/31/2021,1511712,122524,1348330,40858,177078,-33241,205627,4692
4/30/2021,1668368,100213,1522634,45521,156656,-22311,174304,4663
5/31/2021,1821703,102006,1669119,50578,153335,1793,146485,5057
6/30/2021,2178272,239368,1880413,58491,356569,137362,211294,7913
7/31/2021,3409658,545447,2770092,94119,1231386,306079,889679,35628
8/31/2021,4089801,196281,3760497,133023,680143,-349166,990405,38904
9/30/2021,4215104,36141,4037024,141939,125303,-160140,276527,8916
10/31/2021,4244358,12318,4088635,143405,29254,-23823,51611,1466
11/30/2021,4256409,7922,4104657,143830,12051,-4396,16022,425
12/31/2021,4262720,4292,4114334,144094,6311,-3630,9677,264
1/31/2022,4353370,68596,4140454,144320,90650,64304,26120,226
2/28/2022,5564448,554698,4861415,148335,1211078,486102,720961,4015
3/31/2022,6012818,106927,5750802,155089,448370,-447771,889387,6754
4/30/2022,6046796,7897,5882660,156257,33978,-99030,131858,1168
5/31/2022,6054973,2959,5895423,156591,8177,-4938,12763,334
6/30/2022,6088460,16790,5914933,156737,33487,13831,19510,146
7/31/2022,6207098,48703,6001402,156993,118638,31913,86469,256
8/31/2022,6358808,45208,6156034,157566,151710,-3495,154632,573
9/30/2022,6431624,17594,6255918,158112,72816,-27614,99884,546
10/31/2022,6493079,24658,6309790,158631,61455,7064,53872,519
11/30/2022,6664844,59276,6445738,159830,171765,34618,135948,1199
12/31/2022,6719815,9871,6549332,160612,54971,-49405,103594,782
1/31/2023,6730016,4270,6564932,160814,10201,-5601,15600,202
2/28/2023,6736046,3440,6571692,160914,6030,-830,6760,100
3/31/2023,6746474,5226,6580228,161020,10428,1786,8536,106
