Bulan,Total,Asia,Eropa,Afrika,America,Australia
2019-01,1201735,903513,127191,5757,45865,119409
2019-02,1243996,976170,131240,4728,42999,88859
2019-03,1311911,987426,151408,6296,58878,107903
2019-04,1274231,926801,169529,7759,52104,118038
2019-05,1249536,919227,142290,5480,56404,126135
2019-06,1434103,1069374,156099,8907,55154,144569
2019-07,1468173,1003339,230682,8903,59506,165743
2019-08,1530268,1073558,237072,10850,55193,153595
2019-09,1388719,952630,207679,10372,56597,161441
2019-10,1346434,928495,201656,8319,54872,153092
2019-11,1280781,927464,157578,8037,53707,133995
2019-12,1377067,998038,163440,13511,57624,144454
2020-01,1290411,935101,161188,7541,50642,135939
2020-02,872765,568387,155034,5150,44492,99702
2020-03,486155,330873,81981,2970,21477,48854
2020-04,158066,153770,1844,50,1228,1174
2020-05,161842,156937,2272,56,1155,1422
2020-06,156561,151564,2297,61,1210,1429
2020-07,155742,150335,2310,79,1499,1519
2020-08,161549,155619,2786,53,1901,1190
2020-09,148984,142257,3977,80,1643,1027
2020-10,152293,141371,6023,130,3339,1430
2020-11,144476,131603,7958,189,2770,1956
2020-12,164079,145448,13509,262,2716,2144
2021-01,126515,119696,1907,67,1469,3376
2021-02,105788,97947,3303,130,1787,2621
2021-03,119979,112715,3164,99,1442,2559
2021-04,112756,102393,5352,178,2140,2693
2021-05,139433,129139,5166,375,2491,2262
2021-06,126844,116096,5744,415,2533,2056
2021-07,127249,118562,3487,178,2713,2309
2021-08,118533,112120,2156,57,1802,2398
2021-09,120100,113091,3049,141,1500,2319
2021-10,146137,134040,5881,279,2443,3494
2021-11,150577,135058,8669,260,2752,3838
2021-12,163619,147849,8028,162,2001,5579
2022-01,136298,123327,7506,318,2433,2714
2022-02,117509,104211,8624,432,2318,1924
2022-03,158629,131974,16619,713,4494,4829
2022-04,230076,165692,35467,940,9696,18281
2022-05,354920,240566,56801,1837,17613,38103
2022-06,483883,313548,72976,2426,25008,69925
2022-07,645121,396804,122413,2894,30237,92773
2022-08,670509,397294,146514,3538,30012,93151
2022-09,700606,438947,126646,3656,31243,100114
2022-10,734228,460681,133678,3771,33798,102300
2022-11,704783,470017,109370,3409,34014,87973
2022-12,952469,673259,123796,5748,39229,110437
2023-01,735947,476353,117397,3621,32883,105693
2023-02,701931,449626,118734,3569,38579,91423
2023-03,869243,572271,143154,4408,45595,103815
